customer,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
Bart Pistole,17,12,2441,1,1,2,112
Bart Watters,121,8,4751,3,2,1,321
Becky Castell,202,9,2934,4,1,2,412
Becky Martin,307,4,11790,4,4,1,441
Becky Pak,89,6,1698,3,3,3,333
Ben Ferrer,16,11,5907,1,1,1,111
Ben Peterman,1,9,3675,1,1,2,112
Ben Wallace,203,6,1739,4,3,3,433
Benjamin Farhat,65,4,1586,2,4,3,243
Benjamin Patterson,39,5,1182,2,4,3,243
Benjamin Venier,334,5,1522,4,4,3,443
Berenike Kampe,77,6,660,3,3,4,334
Beth Fritzler,57,3,792,2,4,4,244
Beth Paige,12,7,2474,1,2,2,122
Beth Thompson,336,5,2568,4,4,2,442
Bill Donatelli,33,12,5719,2,1,1,211
Bill Eplett,119,5,4205,3,4,1,341
Bill Overfelt,137,5,2684,3,4,2,342
Bill Shonely,558,5,10502,4,4,1,441
Bill Stewart,28,5,3888,1,4,1,141
Bill Tyler,302,6,2187,4,3,3,433
Bobby Elias,98,5,2262,3,4,2,342
Bobby Odegard,75,2,131,2,4,4,244
Bobby Trafton,560,4,604,4,4,4,444
Brad Eason,254,6,1727,4,3,3,433
Brad Norvell,24,4,266,1,4,4,144
Brad Thomas,659,2,415,4,4,4,444
Bradley Drucker,35,6,4411,2,3,1,231
Bradley Nguyen,9,5,1460,1,4,3,143
Bradley Talbott,91,5,2685,3,4,2,342
Brenda Bowman,28,9,6766,1,1,1,111
Brendan Dodson,278,2,321,4,4,4,444
Brendan Murry,100,6,809,3,3,4,334
Brendan Sweed,35,6,2454,2,3,2,232
Brian Dahlen,97,7,3289,3,2,2,322
Brian DeCherney,69,6,1539,2,3,3,233
Brian Derr,9,3,583,1,4,4,144
Brian Moss,33,11,7295,2,1,1,211
Brian Stugart,582,3,3288,4,4,2,442
Brian Thompson,20,7,3196,1,2,2,122
Brooke Gillingham,36,6,1873,2,3,3,233
Brosina Hoffman,23,8,6255,1,2,1,121
Bruce Degenhardt,93,6,1527,3,3,3,333
Bruce Geld,57,6,1006,2,3,4,234
Bruce Stewart,1,7,2563,1,2,2,122
Bryan Davis,327,6,658,4,3,4,434
Bryan Mills,218,10,1339,4,1,3,413
Bryan Spruell,265,2,950,4,4,4,444
Candace McMahon,131,6,1674,3,3,3,333
Cari Sayre,91,5,1279,3,4,3,343
Cari Schnelling,162,6,537,3,3,4,334
Carl Jackson,365,1,17,4,4,4,444
Carl Ludwig,106,4,1263,3,4,3,343
Carl Weiss,22,6,1138,1,3,4,134
Carlos Daly,40,5,2035,2,4,3,243
Carlos Meador,708,2,565,4,4,4,444
Carlos Soltero,25,11,3038,1,1,2,112
Carol Adams,96,6,3790,3,3,1,331
Carol Darley,54,3,640,2,4,4,244
Carol Triggs,96,8,3242,3,2,2,322
Caroline Jumper,189,8,11166,4,2,1,421
Cassandra Brandow,47,10,6076,2,1,1,211
Catherine Glotzbach,49,6,905,2,3,4,234
Cathy Armstrong,401,5,1680,4,4,3,443
Cathy Hwang,691,3,1537,4,4,3,443
Cathy Prescott,82,8,5402,3,2,1,321
Chad Cunningham,457,6,1771,4,3,3,433
Chad McGuire,8,4,1662,1,4,3,143
Chad Sievert,489,4,885,4,4,4,444
Charles Crestani,106,7,2472,3,2,2,322
Charles McCrossin,26,6,2533,1,3,2,132
Charles Sheldon,232,5,844,4,4,4,444
Charlotte Melton,8,6,1475,1,3,3,133
Chloris Kastensmidt,39,13,3157,2,1,2,212
Chris Cortes,20,12,3913,1,1,1,111
Chris McAfee,385,5,2307,4,4,2,442
Chris Selesnick,26,12,2754,1,1,2,112
Christina Anderson,56,9,2648,2,1,2,212
Christina DeMoss,42,2,1206,2,4,3,243
Christina VanderZanden,254,5,2830,4,4,2,442
Christine Abelman,13,4,1422,1,4,3,143
Christine Kargatis,120,5,2946,3,4,2,342
Christine Phan,160,8,5889,3,2,1,321
Christine Sundaresam,6,11,3202,1,1,2,112
Christopher Conant,43,5,12129,2,4,1,241
Christopher Martinez,37,4,8953,2,4,1,241
Christopher Schild,2,9,3651,1,1,2,112
Christy Brittain,26,8,1950,1,2,3,123
Chuck Clark,0,10,2870,1,1,2,112
Chuck Magee,436,3,288,4,4,4,444
Chuck Sachs,27,2,551,1,4,4,144
Cindy Chapman,39,9,1660,2,1,3,213
Cindy Schnelling,424,4,1077,4,4,4,444
Cindy Stewart,58,6,5691,2,3,1,231
Claire Gute,338,3,1149,4,4,3,443
Claudia Bergmann,197,8,4246,4,2,1,421
Clay Cheatham,27,3,113,1,4,4,144
Clay Ludtke,284,12,10879,4,1,1,411
Clay Rozendal,57,4,2149,2,4,3,243
Clytie Kelty,43,11,2373,2,1,2,212
Corey Catlett,34,7,2541,2,2,2,222
Corey Roper,470,3,476,4,4,4,444
Corey-Lock,549,5,1300,4,4,3,443
Corinna Mitchell,27,6,6339,1,3,1,131
Craig Carreira,29,7,2270,1,2,2,122
Craig Carroll,799,4,2854,4,4,2,442
Craig Leslie,105,5,2353,3,4,2,342
Craig Molinari,1035,4,3985,4,4,1,441
Craig Reiter,78,4,1600,3,4,3,343
Craig Yedwab,60,8,2900,2,2,2,222
Cyma Kinney,82,9,1581,3,1,3,313
Cynthia Arntzen,120,7,3041,3,2,2,322
Cynthia Delaney,399,5,1859,4,4,3,443
Cynthia Voltz,5,9,2370,1,1,2,112
Cyra Reiten,85,3,1398,3,4,3,343
Damala Kotsonis,21,12,3256,1,1,2,112
Dan Campbell,37,9,3335,2,1,2,212
Dan Lawera,100,8,1503,3,2,3,323
Dan Reichenbach,3,9,6528,1,1,1,111
Dana Kaydos,45,5,4282,2,4,1,241
Daniel Byrd,21,8,2172,1,2,3,123
Daniel Lacy,57,6,3273,2,3,2,232
Daniel Raglin,50,8,8351,2,2,1,221
Dario Medina,114,7,1322,3,2,3,323
Darren Budd,241,5,2840,4,4,2,442
Darren Koutras,7,5,1687,1,4,3,143
Darren Powers,126,9,1052,3,1,4,314
Darrin Martin,57,7,6346,2,2,1,221
Darrin Sayre,93,4,1762,3,4,3,343
Darrin Van Huff,19,5,1121,1,4,4,144
Dave Brooks,16,7,4532,1,2,1,121
Dave Hallsten,277,6,4934,4,3,1,431
Dave Kipp,42,7,2652,2,2,2,222
Dave Poirier,6,8,2215,1,2,3,123
David Bremer,48,7,2974,2,2,2,222
David Flashing,700,3,2391,4,4,2,442
David Kendrick,10,2,798,1,4,4,144
David Philippe,812,2,1059,4,4,4,444
David Smith,23,9,2881,1,1,2,112
David Wiener,69,6,1080,2,3,4,234
Dean Braden,9,10,2333,1,1,2,112
Dean Katz,10,9,4801,1,1,1,111
Dean percer,84,11,7199,3,1,1,311
Deanra Eno,719,5,2550,4,4,2,442
Deborah Brumfield,53,8,4656,2,2,1,221
Debra Catini,23,5,1174,1,4,3,143
Deirdre Greer,32,5,3195,2,4,2,242
Delfina Latchford,22,8,1459,1,2,3,123
Denise Leinenbach,57,4,584,2,4,4,244
Denise Monton,22,8,4075,1,2,1,121
Dennis Bolton,264,5,1081,4,4,4,444
Dennis Kane,19,8,3317,1,2,2,122
Dennis Pardue,358,9,5482,4,1,1,411
Denny Blanton,187,4,1711,4,4,3,443
Denny Joy,637,4,2012,4,4,3,443
Denny Ordway,133,9,1299,3,1,3,313
Dianna Arnett,352,4,158,4,4,4,444
Dianna Vittorini,29,6,3342,1,3,2,132
Dianna Wilson,217,5,5272,4,4,1,441
Dionis Lloyd,76,8,3540,3,2,2,322
Don Jones,48,8,2502,2,2,2,222
Don Miller,481,3,1377,4,4,3,443
Don Weiss,98,5,343,3,4,4,344
Dorothy Badders,107,7,3908,3,2,1,321
Dorothy Dickinson,41,6,269,2,3,4,234
Dorothy Wardle,242,7,1205,4,2,3,423
Dorris liebe,119,5,756,3,4,4,344
Doug Bickford,33,7,1988,2,2,3,223
Doug Jacobs,12,3,3357,1,4,2,142
Doug O'Connell,26,7,1268,1,2,3,123
Duane Benoit,12,7,1156,1,2,3,123
Duane Huffman,776,4,1043,4,4,4,444
Duane Noonan,217,7,2139,4,2,3,423
Ed Braxton,48,9,3645,2,1,2,212
Ed Jacobs,302,4,2163,4,4,3,443
Ed Ludwig,77,2,125,3,4,4,344
Edward Becker,35,10,3236,2,1,2,212
Edward Hooks,135,12,10311,3,1,1,311
Edward Nazzal,287,4,2200,4,4,3,443
Eileen Kiefer,44,4,1302,2,4,3,243
Eleni McCrary,132,5,2567,3,4,2,342
Elizabeth Moffitt,55,8,2340,2,2,2,222
Ellis Ballard,90,5,4359,3,4,1,341
Elpida Rittenbach,421,3,1246,4,4,3,443
Emily Burns,100,10,2768,3,1,2,312
Emily Ducich,135,8,3486,3,2,2,322
Emily Grady,22,5,1832,1,4,3,143
Emily Phan,12,17,5479,1,1,1,111
Eric Barreto,161,5,944,3,4,4,344
Eric Hoffmann,217,8,684,4,2,4,424
Eric Murdock,151,5,934,3,4,4,344
Erica Bern,0,4,1644,1,4,3,143
Erica Hackney,405,6,826,4,3,4,434
Erica Hernandez,2,7,1220,1,2,3,123
Erica Smith,40,5,3511,2,4,2,242
Erin Ashbrook,152,13,2847,3,1,2,312
Erin Creighton,53,5,462,2,4,4,244
Erin Mull,47,4,229,2,4,4,244
Erin Smith,28,9,4659,1,1,1,111
Eudokia Martin,113,4,1040,3,4,4,344
Eugene Barchas,113,6,3072,3,3,2,332
Eugene Hildebrand,152,10,3083,3,1,2,312
Eugene Moren,48,6,4589,2,3,1,231
Eva Jacobs,57,5,2657,2,4,2,242
Evan Bailliet,82,6,1187,3,3,3,333
Evan Henry,105,6,924,3,3,4,334
Evan Minnotte,158,3,367,3,4,4,344
Filia McAdams,7,10,2456,1,1,2,112
Frank Atkinson,97,7,2983,3,2,2,322
Frank Carlisle,70,7,3419,2,2,2,222
Frank Gastineau,34,7,1383,2,2,3,223
Frank Hawley,37,10,4256,2,1,1,211
Frank Merwin,36,9,3737,2,1,2,212
Frank Olsen,38,10,2680,2,1,2,212
Frank Preis,23,8,4047,1,2,1,121
Fred Chung,184,7,3889,4,2,1,421
Fred Harton,212,4,2271,4,4,2,442
Fred Hopkins,5,8,6987,1,2,1,121
Fred McMath,145,9,2523,3,1,2,312
Fred Wasserman,362,3,81,4,4,4,444
Gary Hansen,75,9,2819,2,1,2,212
Gary Hwang,50,4,4174,2,4,1,241
Gary McGarr,83,7,3584,3,2,2,322
Gary Mitchum,16,6,3078,1,3,2,132
Gary Zandusky,7,9,4354,1,1,1,111
Gene Hale,387,2,1361,4,4,3,443
Gene McClure,106,10,1255,3,1,3,313
George Ashbrook,149,8,3921,3,2,1,321
George Bell,62,11,1570,2,1,3,213
George Zrebassa,157,4,2454,3,4,2,342
Georgia Rosenberg,1136,2,1284,4,4,3,443
Giulietta Baptist,13,5,4716,1,4,1,141
Giulietta Dortch,5,4,1888,1,4,3,143
Giulietta Weimer,28,7,2190,1,2,3,123
Grace Kelly,112,9,6499,3,1,1,311
Grant Thornton,56,3,9350,2,4,1,241
Greg Guthrie,43,9,2223,2,1,3,213
Greg Hansen,2,2,147,1,4,4,144
Greg Matthias,152,6,3164,3,3,2,332
Greg Maxwell,117,3,6050,3,4,1,341
Greg Tran,36,11,11820,2,1,1,211
Guy Armstrong,5,11,1398,1,1,3,113
Guy Phonely,765,2,237,4,4,4,444
Guy Thornton,34,4,227,2,4,4,244
Hallie Redmond,13,5,1299,1,4,3,143
Harold Dahlen,769,3,251,4,4,4,444
Harold Engle,12,4,884,1,4,4,144
Harold Pawlan,30,7,1990,1,2,3,123
Harold Ryan,159,7,5249,3,2,1,321
Harry Greene,54,5,785,2,4,4,244
Harry Marie,2,10,8237,1,1,1,111
Heather Jas,126,5,359,3,4,4,344
Heather Kirkland,151,8,4878,3,2,1,321
Helen Abelman,69,7,2163,2,2,3,223
Helen Andreada,20,8,2583,1,2,2,122
Helen Wasserman,117,8,9299,3,2,1,321
Henia Zydlo,35,5,886,2,4,4,244
Henry Goldwyn,23,12,3249,1,1,2,112
Henry MacAllister,247,4,737,4,4,4,444
Herbert Flentye,21,7,2533,1,2,2,122
Hilary Holden,72,2,218,2,4,4,244
Hunter Glantz,6,7,3690,1,2,2,122
Hunter Lopez,43,6,12874,2,3,1,231
Ionia McGrath,409,3,2872,4,4,2,442
Irene Maddox,390,7,4931,4,2,1,421
Ivan Gibson,71,4,744,2,4,4,244
Ivan Liston,142,7,5040,3,2,1,321
Jack Garza,758,3,2358,4,4,2,442
Jack Lebron,8,6,1215,1,3,3,133
Jack O'Briant,57,9,3256,2,1,2,212
James Galang,1,11,6367,1,1,1,111
James Lanier,6,5,1572,1,4,3,143
Jamie Frazer,65,7,2279,2,2,2,222
Jamie Kunitz,61,5,4427,2,4,1,241
Jane Waco,42,6,7722,2,3,1,231
Janet Lee,119,5,2203,3,4,3,343
Janet Martin,37,6,3159,2,3,2,232
Janet Molinari,37,5,1804,2,4,3,243
Jas O'Carroll,92,6,1935,3,3,3,333
Jason Fortune-,225,5,955,4,4,4,444
Jason Gross,2,6,2241,1,3,3,133
Jason Klamczynski,287,3,384,4,4,4,444
Jasper Cacioppo,114,4,72,3,4,4,344
Jay Fein,105,6,1913,3,3,3,333
Jay Kimmel,44,8,2710,2,2,2,222
Jenna Caffey,175,1,1058,3,4,4,344
Jennifer Braxton,7,10,1792,1,1,3,113
Jennifer Ferguson,2,6,2372,1,3,2,132
Jennifer Halladay,5,4,310,1,4,4,144
Jennifer Jackson,483,5,710,4,4,4,444
Jennifer Patt,37,7,1669,2,2,3,223
Jeremy Ellison,193,6,1388,4,3,3,433
Jeremy Farry,121,11,1082,3,1,4,314
Jeremy Lonsdale,49,6,3173,2,3,2,232
Jeremy Pistek,8,7,3636,1,2,2,122
Jessica Myrick,102,7,1733,3,2,3,323
Jesus Ocampo,215,5,1091,4,4,4,444
Jill Fjeld,54,8,4198,2,2,1,221
Jill Matthias,0,5,304,1,4,4,144
Jill Stevenson,119,4,1418,3,4,3,343
Jim Epp,48,7,7755,2,2,1,221
Jim Karlsson,61,7,3761,2,2,2,222
Jim Kriz,180,9,4762,3,1,1,311
Jim Mitchum,8,5,865,1,4,4,144
Jim Radford,593,2,1157,4,4,3,443
Jim Sink,42,4,1131,2,4,4,244
Jocasta Rupert,68,1,864,2,4,4,244
Joe Elijah,46,10,8698,2,1,1,211
Joe Kamberova,84,10,4866,3,1,1,311
Joel Eaton,51,13,6761,2,1,1,211
Joel Jenkins,753,2,195,4,4,4,444
John Castell,158,9,2773,3,1,2,312
John Dryer,117,5,2153,3,4,3,343
John Grady,223,6,1507,4,3,3,433
John Huston,174,6,529,3,3,4,334
John Lee,21,11,9801,1,1,1,111
John Lucas,614,6,2725,4,3,2,432
John Murray,109,7,7624,3,2,1,321
John Stevenson,534,5,3868,4,4,1,441
Jonathan Doherty,394,11,7610,4,1,1,411
Jonathan Howell,41,7,959,2,2,4,224
Joni Blumstein,737,3,900,4,4,4,444
Joni Sundaresam,463,5,470,4,4,4,444
Joni Wasserman,5,7,1243,1,2,3,123
Joseph Airdo,92,8,6492,3,2,1,321
Joseph Holt,29,6,7955,1,3,1,131
Joy Bell-,43,7,644,2,2,4,224
Joy Daniels,112,6,386,3,3,4,334
Joy Smith,28,6,2517,1,3,2,132
Julia Barnett,7,5,2518,1,4,2,142
Julia Dunbar,300,3,696,4,4,4,444
Julia West,461,4,1429,4,4,3,443
Juliana Krohn,28,3,3748,1,4,2,142
Julie Creighton,57,5,858,2,4,4,244
Julie Kriz,117,10,2934,3,1,2,312
Julie Prescott,102,9,1707,3,1,3,313
Justin Deggeller,41,8,8828,2,2,1,221
Justin Ellison,20,3,2698,1,4,2,142
Justin Hirsh,404,4,2257,4,4,3,443
Justin MacKendrick,57,10,2834,2,1,2,212
Justin Ritter,33,5,2202,2,4,3,243
Kalyca Meade,14,6,2260,1,3,2,132
Karen Bern,4,7,3153,1,2,2,122
Karen Carlisle,407,6,2121,4,3,3,433
Karen Daniels,484,5,8282,4,4,1,441
Karen Ferguson,97,7,10605,3,2,1,321
Karen Seio,295,3,89,4,4,4,444
Karl Braun,296,9,1570,4,1,3,413
Katharine Harms,40,8,3313,2,2,2,222
Katherine Ducich,41,6,1889,2,3,3,233
Katherine Hughes,1,6,3101,1,3,2,132
Katherine Murray,56,8,5620,2,2,1,221
Katherine Nockton,19,9,2618,1,1,2,112
Katrina Bavinger,117,3,909,3,4,4,344
Katrina Edelman,26,8,1686,1,2,3,123
Katrina Willman,96,5,4417,3,4,1,341
Kean Nguyen,52,5,2172,2,4,3,243
Kean Takahito,391,7,3059,4,2,2,422
Kean Thornton,100,10,4643,3,1,1,311
Keith Dawkins,112,12,8182,3,1,1,311
Keith Herrera,22,7,5953,1,2,1,121
Kelly Andreada,36,7,1520,2,2,3,223
Kelly Collister,97,4,3908,3,4,1,341
Kelly Lampkin,16,8,5016,1,2,1,121
Kelly Williams,771,4,449,4,4,4,444
Ken Black,230,12,2746,4,1,2,412
Ken Brennan,1,7,984,1,2,4,124
Ken Dana,289,5,2244,4,4,3,443
Ken Heidel,58,9,3919,2,1,1,211
Ken Lonsdale,47,12,14174,2,1,1,211
Khloe Miller,15,5,454,1,4,4,144
Kimberly Carter,57,4,1145,2,4,4,244
Kristen Hastings,2,7,5991,1,2,1,121
Kristina Nunn,98,8,2281,3,2,2,322
Kunst Miller,28,8,4909,1,2,1,121
Larry Blacks,48,3,50,2,4,4,244
Larry Hughes,151,3,288,3,4,4,344
Larry Tron,26,3,330,1,4,4,144
Laura Armstrong,154,11,8675,3,1,1,311
Laurel Beltran,152,8,4987,3,2,1,321
Laurel Elliston,21,6,1469,1,3,3,133
Laurel Workman,88,5,2238,3,4,3,343
Lauren Leatherbury,249,6,2741,4,3,2,432
Lela Donovan,552,1,5,4,4,4,444
Lena Cacioppo,27,8,2580,1,2,2,122
Lena Creighton,16,12,7661,1,1,1,111
Lena Hernandez,21,9,2296,1,1,2,112
Lena Radford,26,6,5142,1,3,1,131
Linda Cazamias,41,8,4492,2,2,1,221
Linda Southworth,178,6,2845,3,3,2,332
Lindsay Castell,436,4,3247,4,4,2,442
Lindsay Shagiari,20,9,2988,1,1,2,112
Lindsay Williams,33,6,3231,2,3,2,232
Lisa DeCherney,414,4,1962,4,4,3,443
Lisa Hazard,239,4,318,4,4,4,444
Lisa Ryan,132,5,1879,3,4,3,343
Liz Carlisle,54,5,2095,2,4,3,243
Liz MacKendrick,391,5,1347,4,4,3,443
Liz Pelletier,40,4,757,2,4,4,244
Liz Preis,9,7,3654,1,2,2,122
Liz Thompson,34,8,2936,2,2,2,222
Liz Willingham,205,3,1259,4,4,3,443
Logan Currie,13,9,2632,1,1,2,112
Logan Haushalter,385,9,1740,4,1,3,413
Lori Olson,2,5,644,1,4,4,144
Luke Foster,22,7,3931,1,2,1,121
Luke Schmidt,96,6,1010,3,3,4,334
Luke Weiss,21,7,5420,1,2,1,121
Lycoris Saunders,777,3,368,4,4,4,444
Lynn Smith,34,6,1007,2,3,4,234
Magdelene Morse,168,4,1315,3,4,3,343
Marc Crier,76,8,2727,3,2,2,322
Marc Harrigan,119,6,2394,3,3,2,332
Maria Bertelson,48,10,1548,2,1,3,213
Maria Etezadi,42,10,10663,2,1,1,211
Maria Zettner,30,4,594,1,4,4,144
Maribeth Dona,117,7,3766,3,2,2,322
Maribeth Schnelling,273,10,7443,4,1,1,411
Maribeth Yedwab,29,7,2254,1,2,3,123
Marina Lichtenstein,69,9,2723,2,1,2,212
Maris LaWare,54,6,2922,2,3,2,232
Mark Cousins,399,5,4432,4,4,1,441
Mark Haberlin,376,4,401,4,4,4,444
Mark Hamilton,85,8,2456,3,2,2,322
Mark Packer,719,7,3206,4,2,2,422
Mark Van Huff,27,9,1562,1,1,3,113
Mary O'Rourke,72,4,922,2,4,4,244
Mary Zewe,282,6,2565,4,3,2,432
MaryBeth Skach,434,4,475,4,4,4,444
Mathew Reese,125,4,640,3,4,4,344
Matt Abelman,64,11,4300,2,1,1,211
Matt Collins,27,8,1304,1,2,3,123
Matt Collister,51,6,2426,2,3,2,232
Matt Connell,112,8,2258,3,2,2,322
Matt Hagelstein,155,4,1253,3,4,3,343
Matthew Clasen,189,4,795,4,4,4,444
Matthew Grinstein,29,7,3784,1,2,2,122
Maureen Fritzler,421,5,936,4,4,4,444
Maureen Gastineau,92,4,2350,3,4,2,342
Maureen Gnade,555,3,1343,4,4,3,443
Maurice Satty,413,6,1613,4,3,3,433
Max Engle,28,8,1909,1,2,3,123
Max Jones,22,7,6321,1,2,1,121
Max Ludwig,29,7,2072,1,2,3,123
Maxwell Schwartz,121,9,3145,3,1,2,312
Maya Herman,98,7,2203,3,2,3,323
Meg O'Connel,104,8,1686,3,2,3,323
Meg Tillman,49,6,2889,2,3,2,232
Melanie Seite,452,4,371,4,4,4,444
Michael Chen,1,7,3807,1,2,1,121
Michael Dominguez,36,5,1205,2,4,3,243
Michael Grace,116,5,1241,3,4,3,343
Michael Granlund,99,9,777,3,1,4,314
Michael Kennedy,28,8,2302,1,2,2,122
Michael Moore,7,11,3794,1,1,1,111
Michael Nguyen,34,6,2477,2,3,2,232
Michael Oakman,180,2,154,3,4,4,344
Michael Paige,72,9,3983,2,1,1,211
Michael Stewart,26,6,855,1,3,4,134
Michelle Arnett,186,6,2453,4,3,2,432
Michelle Ellison,92,4,1257,3,4,3,343
Michelle Huthwaite,49,5,2986,2,4,2,242
Michelle Lonsdale,79,3,742,3,4,4,344
Michelle Moray,61,8,2750,2,2,2,222
Michelle Tran,203,4,1320,4,4,3,443
Mick Brown,44,7,1429,2,2,3,223
Mick Crebagga,41,10,2220,2,1,3,213
Mick Hernandez,5,9,5503,1,1,1,111
Mike Caudle,369,5,1582,4,4,3,443
Mike Gockenbach,84,4,3062,3,4,2,342
Mike Kennedy,240,4,1032,4,4,4,444
Mike Pelletier,16,9,5089,1,1,1,111
Mike Vittorini,19,7,1735,1,2,3,123
Mitch Gastineau,264,1,17,4,4,4,444
Mitch Webber,17,7,5341,1,2,1,121
Mitch Willingham,44,2,5254,2,4,1,241
Monica Federle,7,5,1758,1,4,3,143
Muhammed Lee,100,2,162,3,4,4,344
Muhammed MacIntyre,85,9,775,3,1,4,314
Muhammed Yedwab,71,11,4154,2,1,1,211
Nancy Lomonaco,58,4,1419,2,4,3,243
Naresj Patel,25,6,5530,1,3,1,131
Nat Carroll,224,5,2462,4,4,2,442
Nat Gilpin,48,5,1871,2,4,3,243
Natalie DeCherney,27,9,4326,1,1,1,111
Natalie Fritzler,79,7,8321,3,2,1,321
Natalie Webber,172,7,7234,3,2,1,321
Nathan Cano,41,6,2218,2,3,3,233
Nathan Gelder,48,5,1396,2,4,3,243
Nathan Mautz,160,7,6460,3,2,1,321
Neil Ducich,183,6,2894,3,3,2,332
Neil Franzšsisch,525,4,377,4,4,4,444
Neil Knudson,70,7,572,2,2,4,224
Neola Schneider,6,4,2576,1,4,2,142
Neoma Murray,244,10,2163,4,1,3,413
Nick Crebassa,6,7,8241,1,2,1,121
Nick Radford,210,5,2368,4,4,2,442
Nick Zandusky,85,9,2488,3,1,2,312
Nicole Brennan,1166,2,274,4,4,4,444
Nicole Fjeld,114,7,2031,3,2,3,323
Nicole Hansen,189,7,2673,4,2,2,422
Noah Childs,204,5,1821,4,4,3,443
Noel Staavos,174,13,2965,3,1,2,312
Nona Balk,19,9,1971,1,1,3,113
Nora Paige,58,5,3909,2,4,1,241
Nora Pelletier,406,6,1229,4,3,3,433
Nora Preis,138,7,7903,3,2,1,321
Odella Nelson,410,9,1567,4,1,3,413
Olvera Toch,65,5,3819,2,4,1,241
Pamela Coakley,2,4,1832,1,4,3,143
Pamela Stobb,107,6,2182,3,3,3,333
Parhena Norris,30,8,1467,1,2,3,123
Patricia Hirasaki,70,1,730,2,4,4,244
Patrick Bzostek,25,3,740,1,4,4,144
Patrick Gardner,36,13,3087,2,1,2,212
Patrick Jones,39,8,1219,2,2,3,223
Patrick O'Brill,4,11,7474,1,1,1,111
Patrick O'Donnell,0,7,2494,1,2,2,122
Patrick Ryan,36,5,1840,2,4,3,243
Paul Gonzalez,57,9,1988,2,1,3,213
Paul Knutson,483,2,1441,4,4,3,443
Paul Lucas,15,5,240,1,4,4,144
Paul MacIntyre,386,3,1406,4,4,3,443
Paul Prost,97,10,7254,3,1,1,311
Paul Stevenson,69,8,1278,2,2,3,223
